35508, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.30, -0.40, -0.11, 0, 0, 0, 566, 25.09, 568.93, 94675.62, 25.11
36130, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.27, -0.43, 0.04, 0, 0, 0, 566, 25.09, 568.90, 94675.93, 25.12
36776, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.27, -0.62, -0.64, 0, 0, 0, 566, 25.09, 567.55, 94691.25, 25.13
37396, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.12, -0.36, 0.10, 0, 0, 0, 566, 25.09, 569.34, 94670.87, 25.12
38035, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.16, -0.18, -0.09, 0, 0, 0, 562, 25.07, 568.89, 94689.12, 25.18
38665, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.68, -0.86, -0.04, 0, 0, 0, 562, 25.07, 567.77, 94688.79, 25.13
39290, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.22, -0.01, -0.05, 0, 0, 0, 562, 25.07, 567.61, 94690.53, 25.14
39924, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.21, 0.23, -0.14, 0, 0, 0, 562, 25.07, 567.51, 94691.67, 25.18
40568, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.06, -0.12, -0.06, 0, 0, 0, 562, 25.07, 567.50, 94691.87, 25.14
41196, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.02, -0.25, -0.11, 0, 0, 0, 562, 25.07, 569.26, 94691.07, 25.19
41833, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.17, 0.08, 0.11, 0, 0, 0, 562, 25.07, 567.50, 94691.85, 25.15
42444, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.33, -0.28, 0.28, 0, 0, 0, 562, 25.07, 567.74, 94689.14, 25.15
43083, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.15, 0.00, -0.25, 0, 0, 0, 560, 25.03, 567.73, 94689.25, 25.19
43711, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.01, -0.22, -0.06, 0, 0, 0, 560, 25.03, 567.55, 94691.31, 25.15
44338, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.26, -0.04, 0.01, 0, 0, 0, 560, 25.03, 567.62, 94663.73, 25.19
44975, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.23, 0.99, -0.13, 0, 0, 0, 560, 25.03, 567.47, 94692.20, 25.17
45588, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.82, 0.02, -0.05, 0, 0, 0, 560, 25.03, 569.04, 94674.35, 25.15
46224, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.29, -1.72, -0.44, 0, 0, 0, 560, 25.03, 569.74, 94666.40, 25.21
46844, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.23, -0.47, -0.52, 0, 0, 0, 560, 25.03, 568.22, 94683.61, 25.17
47476, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.07, -0.79, 0.18, 0, 0, 0, 560, 24.98, 569.98, 94679.07, 25.22
48107, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.21, 0.21, -0.22, 0, 0, 0, 560, 24.98, 569.78, 94665.89, 25.18
48724, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.47, -0.38, -0.41, 0, 0, 0, 560, 24.98, 568.19, 94684.00, 25.19
49355, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.15, 0.73, 0.46, 0, 0, 0, 560, 24.98, 568.52, 94680.25, 25.22
49999, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.19, 0.20, 0.37, 0, 0, 0, 560, 24.98, 568.27, 94683.05, 25.19
50623, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.15, -0.22, 0.32, 0, 0, 0, 560, 24.98, 568.17, 94684.82, 25.23
51259, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.16, -0.18, -0.10, 0, 0, 0, 560, 24.98, 569.07, 94673.96, 25.19
51871, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.05, -0.12, -0.26, 0, 0, 0, 560, 24.98, 568.27, 94683.08, 25.20
